S.no.,Volunteer,Thigh_ax,Thigh_ay,Thigh_az,Thigh_wx,Thigh_wy,Thigh_wz,Ankle_ax,Ankle_ay,Ankle_az,Ankle_wx,Ankle_wy,Ankle_wz,Speed_km_hr
1.0,1.0,0.0608,0.0129,0.0168,-0.03,0.12,-0.04,0.1385,-0.1566,-0.2935,0.05,0.6,0.0,1.0
2.0,1.0,0.0675,0.0535,0.0399,-0.03,0.12,-0.04,0.0915,0.1441,-0.4463,0.05,0.6,-0.01,1.0
3.0,1.0,0.0647,0.0437,0.0319,-0.03,0.12,-0.04,-0.2675,0.2973,-1.0098,0.05,0.61,-0.01,1.0
4.0,1.0,0.0714,0.0076,0.0716,-0.02,0.09,-0.06,-0.2334,0.1484,-1.2377,0.05,0.63,-0.01,1.0
5.0,1.0,0.0852,-0.0046,0.0798,-0.02,0.09,-0.06,0.0157,0.043,-0.4281,0.05,0.64,-0.01,1.0
6.0,1.0,0.1009,-0.0121,0.0615,-0.02,0.09,-0.06,0.2243,-0.07,0.624,0.05,0.64,-0.02,1.0
7.0,1.0,0.1281,-0.0173,0.0908,-0.01,0.05,-0.04,0.1203,-0.1337,1.0246,0.04,0.63,-0.02,1.0
8.0,1.0,0.1192,-0.0609,0.1125,-0.01,0.05,-0.04,0.0179,-0.084,0.4114,0.04,0.6,-0.02,1.0
9.0,1.0,0.0837,-0.071,0.1385,-0.01,0.05,-0.04,0.0438,0.0671,-0.3444,0.03,0.54,-0.03,1.0
10.0,1.0,0.0581,-0.0596,0.136,0.0,-0.02,-0.02,0.0054,0.0911,-0.6355,0.02,0.45,-0.03,1.0
11.0,1.0,0.0351,-0.0528,0.1049,0.0,-0.02,-0.02,-0.0775,0.021,-0.4912,0.02,0.38,-0.03,1.0
12.0,1.0,0.0507,-0.0149,0.0716,0.0,-0.02,-0.02,0.0262,-0.0015,-0.0365,0.02,0.35,-0.04,1.0
13.0,1.0,0.0545,0.011,0.067,0.01,-0.05,-0.01,0.0785,-0.0014,0.3029,0.02,0.37,-0.05,1.0
14.0,1.0,0.0824,0.0298,0.0575,0.01,-0.05,-0.01,0.0124,-0.0406,0.2929,0.01,0.38,-0.06,1.0
15.0,1.0,0.1171,0.0486,0.0172,0.01,-0.05,-0.01,0.0467,-0.0033,-0.0134,0.02,0.4,-0.06,1.0
16.0,1.0,0.1421,0.0219,-0.0395,-0.01,-0.02,-0.01,0.0325,0.0586,-0.238,0.02,0.42,-0.06,1.0
17.0,1.0,0.1692,-0.0312,-0.0484,-0.01,-0.02,-0.01,-0.0397,0.0304,-0.2473,0.02,0.42,-0.07,1.0
18.0,1.0,0.1768,-0.0867,-0.0402,-0.01,-0.02,-0.01,-0.002,0.0022,-0.0748,0.03,0.43,-0.07,1.0
19.0,1.0,0.1627,-0.1063,-0.0295,-0.01,0.0,-0.01,0.0791,0.0071,0.083,0.03,0.44,-0.06,1.0
20.0,1.0,0.132,-0.0995,0.0079,-0.01,0.0,-0.01,0.0458,-0.0219,0.0972,0.03,0.46,-0.06,1.0
21.0,1.0,0.0751,-0.0806,0.0336,-0.01,0.0,-0.01,0.0221,0.0017,-0.0368,0.04,0.5,-0.06,1.0
22.0,1.0,0.0304,-0.0617,0.0167,-0.01,0.01,-0.01,0.022,0.0208,-0.118,0.06,0.56,-0.06,1.0
23.0,1.0,-0.0041,-0.0523,0.0668,-0.01,0.01,-0.01,-0.0213,0.0163,-0.1274,0.07,0.63,-0.07,1.0
24.0,1.0,-0.0383,-0.0547,0.0932,-0.01,0.01,-0.01,0.0072,0.002,-0.046,0.07,0.68,-0.07,1.0
25.0,1.0,-0.0767,-0.0379,0.0746,-0.02,0.01,-0.01,0.0264,0.0068,0.021,0.07,0.71,-0.08,1.0
26.0,1.0,-0.0809,-0.033,0.087,-0.02,0.01,-0.01,0.017,0.0017,-0.0029,0.07,0.73,-0.08,1.0
27.0,1.0,-0.0491,-0.0425,0.1016,-0.02,0.01,-0.01,-0.026,0.0494,-0.0412,0.08,0.74,-0.08,1.0
28.0,1.0,-0.0385,-0.04,0.1228,-0.02,0.0,0.01,0.0074,0.016,-0.0793,0.08,0.73,-0.08,1.0
29.0,1.0,-0.0156,-0.0207,0.115,-0.02,0.0,0.01,0.0025,0.0209,-0.0649,0.09,0.73,-0.07,1.0
30.0,1.0,0.0072,0.0057,0.0829,-0.02,0.0,0.01,0.0072,0.0018,-0.0409,0.08,0.7,-0.07,1.0
31.0,1.0,0.0253,0.0129,0.0223,-0.02,-0.02,0.03,0.0311,0.0113,-0.0026,0.08,0.66,-0.06,1.0
32.0,1.0,0.0454,0.0226,-0.0024,-0.02,-0.02,0.03,0.0121,0.0255,-0.0361,0.08,0.61,-0.07,1.0
33.0,1.0,0.0341,0.0106,0.004,-0.02,-0.02,0.03,0.0312,0.0351,-0.0647,0.07,0.57,-0.07,1.0
34.0,1.0,-0.0084,-0.0014,0.0294,-0.02,0.0,0.04,0.0168,0.0207,-0.0503,0.06,0.54,-0.07,1.0
35.0,1.0,-0.0439,-0.0349,0.0217,-0.02,0.0,0.04,0.0262,-0.0032,-0.0502,0.06,0.52,-0.07,1.0
36.0,1.0,-0.0483,-0.0421,0.012,-0.02,0.0,0.04,0.031,0.0016,-0.0263,0.05,0.5,-0.07,1.0
37.0,1.0,-0.0457,-0.0516,-0.0072,-0.02,0.04,0.03,0.0263,-0.0033,-0.0167,0.06,0.5,-0.07,1.0
38.0,1.0,-0.0433,-0.0468,-0.0214,-0.02,0.04,0.03,0.0263,0.011,-0.0501,0.05,0.5,-0.06,1.0
39.0,1.0,-0.0142,-0.0563,0.0001,-0.02,0.04,0.03,0.0168,0.0206,-0.074,0.05,0.51,-0.06,1.0
40.0,1.0,0.0027,-0.0587,0.0166,-0.05,0.19,0.0,0.0024,0.0062,-0.05,0.06,0.52,-0.06,1.0
41.0,1.0,0.0126,-0.0468,0.0115,-0.05,0.19,0.0,-0.0072,0.0062,-0.0451,0.06,0.52,-0.06,1.0
